Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Gegner
2025-08-24_HCR_A,Mid Q Chance For: 8,D3,L2,,5:5,,Neben Tor,Matteo Steiner,Janis Lauber,Auslösung,0.30,,
2025-08-24_HCR_A,Mid Q Chance For: 9,D3,L3,,5:5,,Neben Tor,Seya Schwarz,Nick Pfister,Konter,0.40,,
2025-08-24_HCR_A,Mid Q Chance For: 10,D3,L2,,5:5,,Auf Tor,Matteo Steiner,,Standart,0.30,,
2025-08-24_HCR_A,Mid Q Chance For: 11,D3,L2,,5:5,,Neben Tor,Alexander Hedlund,Matteo Steiner,Auslösung,0.45,,
2025-08-24_HCR_A,Mid Q Chance For: 12,D3,L2,,5:5,,Geblockt,Matteo Steiner,Janis Lauber,Nachsetzen,0.25,,
2025-08-24_HCR_A,Mid Q Chance For: 13,D3,L1,,5:5,,Neben Tor,Thomas Gfeller,Kevin Kropf,Konter,0.45,,
2025-08-24_HCR_A,Nachsetzen For: 1,D1,L2,Good,5:5,,Geblockt,,,Nachsetzen,,,
2025-08-24_HCR_A,Nachsetzen For: 2,D1,L2,Bad,5:5,,,,,Nachsetzen,,,
2025-08-24_HCR_A,Nachsetzen For: 3,D1,L2,Good,5:5,,,,,Nachsetzen,,Bad,
2025-08-24_HCR_A,Nachsetzen For: 4,D2,L1,Bad,5:5,,,,,Nachsetzen,,Bad,
2025-08-24_HCR_A,Nachsetzen For: 5,D2,L2,Bad,5:5,,,,,Nachsetzen,,Bad,
2025-08-24_HCR_A,Nachsetzen For: 6,D3,L3,Good,5:5,,,,,Nachsetzen,,Bad,
2025-08-24_HCR_A,Nachsetzen For: 7,D2,L1,Good,5:5,,,,,Nachsetzen,,Good,
2025-08-24_HCR_A,Nachsetzen For: 8,D2,L2,Good,5:5,,,,,Nachsetzen,,Good,
2025-08-24_HCR_A,Nachsetzen For: 9,D2,L3,,5:5,,,,,Nachsetzen,,Good,
2025-08-24_HCR_A,Nachsetzen For: 10,D3,L3,,5:5,,,,,Nachsetzen,,Good,
2025-08-24_HCR_A,Nachsetzen For: 11,D3,L3,,5:5,,,,,Nachsetzen,,Good,
2025-08-24_HCR_A,Nachsetzen For: 12,D3,L3,,5:5,,,,,Nachsetzen,,Good,
2025-08-24_HCR_A,Nachsetzen For: 13,D3,L2,,5:5,,,,,Nachsetzen,,Good,
2025-08-24_HCR_A,Nachsetzen For: 14,D3,L1,,5:5,,,,,Nachsetzen,,Good,
2025-08-24_HCR_A,Pressing For: 1,D1,L2,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 2,D1,L2,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 3,D1,L3,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 4,D2,L2,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 5,D2,L2,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 6,D3,L2,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 7,D3,L1,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 8,D3,L2,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 9,D3,L2,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 10,D3,L2,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 11,D3,L2,,5:5,,,,,,,Good,
2025-08-24_HCR_A,Pressing For: 12,D3,L2,,5:5,,,,,,,Bad,
2025-08-24_HCR_A,Pressing For: 13,D3,L2,,5:5,,,,,,,Bad,
2025-08-24_HCR_A,Pressing For: 14,D3,L2,,5:5,,,,,,,Bad,
2025-08-24_HCR_A,Tor Gegner: 1,D1,L1,,5:5,,,,,Konter,0.50,,
2025-08-24_HCR_A,Tor Gegner: 2,D2,L1,,5:5,,,,,Nachsetzen,0.45,,
2025-08-24_HCR_A,Tor Tigers: 1,D1,L1,,5:5,,,Janis Lauber,Matteo Steiner,Pressing,0.65,,
