Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_Against,ZOE_For
2025-08-24_GC_A,ZOE Gegner: 8,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 9,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 10,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 11,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 12,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 13,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 14,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 15,D1,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 16,D1,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 17,D1,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 18,D2,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 19,D2,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 20,D2,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 21,D2,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 22,D2,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 23,D2,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 24,D2,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 25,D2,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 26,D2,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 27,D2,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 28,D2,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 29,D2,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 30,D2,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 31,D2,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 32,D3,L1,Bad,5:5,,,,,Auslösung,,Bad,
2025-08-24_GC_A,ZOE Gegner: 33,D3,L3,Bad,5:5,,,,,Auslösung,,Bad,
2025-08-24_GC_A,ZOE Gegner: 34,D3,L2,Bad,5:5,,,,,Auslösung,,Bad,
2025-08-24_GC_A,ZOE Gegner: 35,D3,L2,Bad,5:5,,,,,Auslösung,,Bad,
2025-08-24_GC_A,ZOE Gegner: 36,D3,L1,Bad,5:5,,,,,Auslösung,,Bad,
2025-08-24_GC_A,ZOE Gegner: 37,D3,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 38,D3,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 39,D3,L2,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 40,D3,L1,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,ZOE Gegner: 41,D3,L3,,5:5,,,,,Auslösung,,Good,
2025-08-24_GC_A,Zone-Exit Against: 1,D2,L2,,5:5,,,,,,,,
2025-08-24_GC_A,Zone-Exit Against: 2,D1,L2,,5:5,,,,,,,,
2025-08-24_GC_A,Zone-Exit Against: 3,D2,L1,,5:5,,,,,,,,
2025-08-24_GC_A,Zone-Exit Against: 4,D3,L3,,5:5,,,,,,,,
2025-08-24_GC_A,Zone-Exit Against: 5,D2,L2,,5:5,,,,,,,,
2025-08-24_GC_A,Zone-Exit Against: 6,D1,L2,,5:5,,,,,,,,
2025-08-24_GC_A,Zone-Exits For: 1,D2,L1,,5:5,,,,,,,,
2025-08-24_GC_A,Zone-Exits For: 2,D2,L3,,5:5,,,,,,,,
2025-08-24_GC_A,Zone-Exits For: 3,D2,L2,,5:5,,,,,,,,
,,,L2,,,,,,,,,,
,,,,,,,,,,,,,
