Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS6_Alligator_Malans_A,Divers: 13,D1,L1,5:5,,,Simon Steiner,,,,,
MS6_Alligator_Malans_A,Divers: 14,D2,L3,5:5,,,Jan Ewald,,Festsetzen,,,
MS6_Alligator_Malans_A,Divers: 15,D2,L1,5:5,,,Kevin Kropf,,,,,
MS6_Alligator_Malans_A,Mid Q Chance For: 1,D3,L2,5:5,Gezogen,Auf Tor,Nick Pfister,Matteo Steiner,Konter,0.3,,
MS6_Alligator_Malans_A,Mid Q Chance For: 2,D2,L1,5:5,Gezogen,Neben Tor,Simon Steiner,Gustav Svensson,Auslösung,0.3,,
MS6_Alligator_Malans_A,Low Q Chance Against: 1,D3,L1,5:5,Volley,Neben Tor,,,Auslösung,0.1,,
MS6_Alligator_Malans_A,Low Q Chance Against: 2,D3,L3,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.1,,
MS6_Alligator_Malans_A,Low Q Chance Against: 3,D3,L2,5:5,Direkt,Auf Tor,,,Festsetzen,0.1,,
MS6_Alligator_Malans_A,Low Q Chance Against: 4,D3,L1,5:5,Handgelenk,Auf Tor,,,Festsetzen,0.2,,
MS6_Alligator_Malans_A,Low Q Chance Against: 5,D1,L1,5:5,Volley,Neben Tor,,,Festsetzen,0.2,,
MS6_Alligator_Malans_A,Low Q Chance Against: 6,D1,L1,5:5,Direkt,Geblockt,Steiner Simon,,Standart,0.1,,
MS6_Alligator_Malans_A,Low Q Chance Against: 7,D1,L1,5:5,Gezogen,Geblockt,Christian Stucki,,Auslösung,0.1,,
MS6_Alligator_Malans_A,Low Q Chance Against: 8,D1,L2,5:5,Gezogen,Geblockt,Luca Fankhauser,,Auslösung,0.1,,
MS6_Alligator_Malans_A,Low Q Chance Against: 9,D1,L1,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
MS6_Alligator_Malans_A,Low Q Chance Against: 10,D2,L2,5:5,Handgelenk,Geblockt,Björn Schenkel,,Konter,0.1,,
MS6_Alligator_Malans_A,Low Q Chance Against: 11,D2,L3,5:5,Gezogen,Geblockt,Lukas Münger,,Auslösung,0.1,,
MS6_Alligator_Malans_A,Low Q Chance Against: 12,D2,L2,5:5,Direkt,Geblockt,Luca Fankhauser,,Standart,0.2,,
MS6_Alligator_Malans_A,Zone-Exits: 1,D3,L2,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,Zone-Exits: 2,D3,L2,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,Zone-Exits: 3,D3,L1,5:5,,,Gustav Svensson,,Auslösung,,Bad,
MS6_Alligator_Malans_A,Zone-Exits: 4,D3,L2,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,Zone-Exits: 5,D1,L3,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,Zone-Exits: 6,D1,L1,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,Zone-Exits: 7,D1,L2,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,Zone-Exits: 8,D1,L1,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,Zone-Exits: 9,D2,L2,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,Zone-Exits: 10,D2,L1,5:5,,,,,Auslösung,,Good,
MS6_Alligator_Malans_A,Zone-Exits: 11,D2,L2,5:5,,,,,Auslösung,,Bad,
MS6_Alligator_Malans_A,Mid Q Chance Against: 1,D3,L1,5:5,Direkt,Auf Tor,,,Konter,0.3,,
MS6_Alligator_Malans_A,Mid Q Chance Against: 2,D3,L3,5:5,Direkt,Auf Tor,,,Nachsetzen,0.3,,
MS6_Alligator_Malans_A,Mid Q Chance Against: 3,D1,L1,5:5,Direkt,Neben Tor,,,Nachsetzen,0.2,,
MS6_Alligator_Malans_A,High Q Chance Against: 1,D3,L2,5:5,Direkt,Neben Tor,,,Auslösung,0.4,,
MS6_Alligator_Malans_A,High Q Chance Against: 2,D3,L1,5:5,Handgelenk,Auf Tor,,,Pressing,0.5,,
MS6_Alligator_Malans_A,High Q Chance Against: 3,D2,L2,5:5,Direkt,Auf Tor,,,Standart,0.5,,
MS6_Alligator_Malans_A,Tor Tigers: 1,D3,PP2,5:4,Gezogen,,Matteo Steiner,Janis Lauber,,0.2,,
MS6_Alligator_Malans_A,Tor Tigers: 2,D3,L1,5:5,Direkt,,Simon Steiner,Christian Stucki,Nachsetzen,0.4,,
MS6_Alligator_Malans_A,Tor Tigers: 3,D1,L3,5:5,Gezogen,,Jan Ewald,Lukas Münger,Auslösung,0.2,,
