Spiel,Instance number,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS21_FBK_H,2,D1,L3,,5:5,,,,Standart,,,
MS21_FBK_H,3,D1,L3,,5:5,,,,Standart,,,
MS21_FBK_H,4,D1,L1,,5:5,,,,Standart,,,
MS21_FBK_H,5,D1,L2,,5:5,,,,Standart,,,
MS21_FBK_H,6,D1,L2,,5:5,,,,Standart,,,
MS21_FBK_H,7,D1,L2,,5:5,,,,Standart,,,
MS21_FBK_H,8,D2,L2,,5:5,,,,Standart,,,
MS21_FBK_H,9,D2,L3,,5:5,,,,Standart,,,
MS21_FBK_H,10,D2,L3,,5:5,,,,Standart,,,
MS21_FBK_H,11,D2,L3,,5:5,,,,Standart,,,
MS21_FBK_H,12,D2,L1,,5:5,,,,Standart,,,
MS21_FBK_H,13,D2,L2,,5:5,,,,Standart,,,
MS21_FBK_H,14,D2,L1,,5:5,,,,Standart,,,
MS21_FBK_H,15,D2,L1,,5:5,,,,Standart,,,
MS21_FBK_H,16,D2,L2,,5:5,,,,Standart,,,
MS21_FBK_H,17,D2,L1,,5:5,,,,Standart,,,
MS21_FBK_H,18,D2,L1,,5:5,,,Christian Stucki,Standart,,,
MS21_FBK_H,19,D2,L3,,5:5,,,,Standart,,,
MS21_FBK_H,1,D1,L1,,5:5,,,,Auslösung,0.4,,Good
MS21_FBK_H,2,D1,L1,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,3,D1,L3,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,4,D1,L3,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,5,D1,L2,,5:5,,,,Auslösung,,,Bad
MS21_FBK_H,6,"D1, D1",L1,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,7,D2,L3,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,8,D2,L2,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,9,D2,L2,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,10,D2,L2,,5:5,,,,Auslösung,,,Bad
MS21_FBK_H,11,D2,L2,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,12,D3,L1,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,13,D3,L2,,5:5,,,,Auslösung,,,Bad
MS21_FBK_H,14,D3,L1,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,15,D3,L1,,5:5,,,,Auslösung,,,Good
MS21_FBK_H,1,D1,L1,,5:5,Handgelenk,,Christian Stucki,Konter,0.4,,
MS21_FBK_H,2,D1,L3,,5:5,Handgelenk,,Luca Steiner,Auslösung,0.3,,
MS21_FBK_H,3,D1,PP1,,5:4,Direkt,,Matteo Steiner,,0.4,,
MS21_FBK_H,4,D2,L2,,5:5,Handgelenk,,Janis Lauber,Auslösung,0.4,,
MS21_FBK_H,5,D2,L3,,5:5,Gezogen,,Jan Ewald,Konter,0.3,,
MS21_FBK_H,6,D2,L1,,5:5,Direkt,,Simon Steiner,Auslösung,0.5,,
MS21_FBK_H,7,D3,L2,,5:5,Direkt,,"Nick Pfister, Nick Pfister",Auslösung,0.7,,
MS21_FBK_H,8,D3,PP1,,5:4,Handgelenk,,,Nachsetzen,0.6,,
MS21_FBK_H,9,D3,PP1,,5:4,Direkt,,,,0.4,,
MS21_FBK_H,10,D3,L1,,5:5,Handgelenk,,Kevin Kropf,Auslösung,0.4,,
MS21_FBK_H,11,,L2,,5:6,Volley,,Janis Lauber,,0.1,,
MS21_FBK_H,1,D1,L2,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,2,D1,L3,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,3,D1,L2,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,4,D1,L3,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,5,D1,L3,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,6,D1,L3,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,7,D2,L2,,5:5,,,Janis Lauber,Auslösung,,Good,
MS21_FBK_H,8,D2,L3,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,9,D2,L1,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,10,D2,L3,,5:5,,,,Auslösung,,Bad,
MS21_FBK_H,11,D3,L1,,5:5,,,,Auslösung,,Good,
MS21_FBK_H,1,D1,L2,,5:5,,,,Konter,,,
MS21_FBK_H,2,D1,L1,,5:5,,,,Auslösung,,,
MS21_FBK_H,3,D1,L2,,5:5,,,,Konter,,,
MS21_FBK_H,4,D1,L1,,5:5,,,,Konter,,,
MS21_FBK_H,5,D1,L1,,5:5,,,,Konter,,,
MS21_FBK_H,6,D1,L2,,5:5,,,,Konter,,,
MS21_FBK_H,7,D1,L2,,5:5,,,,Konter,,,
MS21_FBK_H,8,D2,L1,,5:5,,,,Konter,,,
MS21_FBK_H,9,D2,L3,,5:5,,,,Konter,,,
MS21_FBK_H,10,D2,L3,,5:5,,,,Konter,,,
MS21_FBK_H,11,D3,L1,,5:5,,,,,,,
MS21_FBK_H,1,,,,,,,,,,,
MS21_FBK_H,1,D1,L1,Good,5:5,,,Christian Stucki,Nachsetzen,,,
MS21_FBK_H,2,D1,L2,Good,5:5,,,Matteo Steiner,Nachsetzen,,,
MS21_FBK_H,1,D1,L2,,5:5,,,,Standart,,,
MS21_FBK_H,2,D1,L3,,5:5,,,,Standart,,,
MS21_FBK_H,3,"D1, D1","L1, L1",,"5:5, 5:5",Gezogen,,,"Standart, Standart",0.1,,
MS21_FBK_H,4,D1,L1,,5:5,,,,Standart,,,
MS21_FBK_H,5,D1,L1,,5:5,,,Kevin Kropf,Standart,,,
MS21_FBK_H,6,D1,L1,,5:5,,,,Standart,,,
MS21_FBK_H,7,D1,L1,,5:5,,,,Standart,,,
MS21_FBK_H,8,D2,L2,,5:5,,,,Standart,,,
MS21_FBK_H,9,D2,L3,,5:5,,,,Standart,,,
MS21_FBK_H,10,D2,L3,,5:5,,,,Standart,,,
MS21_FBK_H,11,D2,L2,,5:5,,,,Standart,,,
MS21_FBK_H,1,D1,L2,,5:5,Handgelenk,Auf Tor,,Konter,0.3,,
MS21_FBK_H,2,D2,L2,,5:5,Direkt,Auf Tor,,Festsetzen,0.5,,
MS21_FBK_H,1,D1,L1,,5:5,Gezogen,,,Standart,0.1,,
MS21_FBK_H,2,D1,L2,,5:5,Direkt,,,Konter,0.5,,
MS21_FBK_H,3,D2,L3,,5:5,Gezogen,,,Konter,0.3,,
MS21_FBK_H,4,D2,L2,,5:5,Direkt,,,Auslösung,0.2,,
MS21_FBK_H,5,D2,L2,,5:5,Gezogen,,,Standart,0.1,,
MS21_FBK_H,6,D2,L2,,5:5,Direkt,,,Konter,0.5,,
MS21_FBK_H,7,D3,L1,,5:5,Gezogen,,,Konter,0.2,,
MS21_FBK_H,8,D3,BP2,,4:5,Volley,,,,0.3,,
MS21_FBK_H,1,D2,L1,,5:5,,,,Konter,,,
MS21_FBK_H,2,,L2,,5:5,,,,Konter,,,
MS21_FBK_H,3,D2,L1,,5:5,,,,Konter,,,
MS21_FBK_H,1,D1,L1,,5:5,Direkt,Auf Tor,Kevin Kropf,Auslösung,0.3,,
MS21_FBK_H,2,D2,L1,,5:5,Gezogen,Auf Tor,Simon Steiner,Auslösung,0.3,,
MS21_FBK_H,3,D3,L2,,5:5,Direkt,Auf Tor,Matteo Steiner,Nachsetzen,0.4,,
MS21_FBK_H,1,D1,L2,,5:5,Volley,,,Konter,0.3,,
MS21_FBK_H,2,D2,L3,,5:5,Gezogen,,,Nachsetzen,0.3,,
MS21_FBK_H,1,,,,,,,,,,,
MS21_FBK_H,2,"D3, D3","PP1, PP1",,"5:5, 5:4","Handgelenk, Direkt",,"Janis Lauber, Kevin Kropf",Nachsetzen,"0.6, 0.4",,
MS21_FBK_H,1,,,,,,,,,,,
MS21_FBK_H,1,,,,,,,,,,,
MS21_FBK_H,1,D3,L2,,5:5,Direkt,Neben Tor,,Auslösung,0.3,,
MS21_FBK_H,1,,,,,,,,,,,
MS21_FBK_H,2,,,,,,,,,0.1,,
MS21_FBK_H,3,,,,,,,,,,,
MS21_FBK_H,4,,,,,,,,,,,
