Spiel,Action,Drittel,Def. Zone,Linien For,Nachsetzen,Nummerische Spielsituation,Off. Zone,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PFVF4_SVWE,PP1: 2,"D2, D2",,"L3, L3",,"5:5, 5:5",,Direkt,,"Auslösung, Nachsetzen",0.3,,
PFVF4_SVWE,PP1: 3,,,,,,,,,,,,
PFVF4_SVWE,Mid Q Chance Against: 1,D1,,L3,,5:5,,Direkt,,Konter,0.3,,
PFVF4_SVWE,Mid Q Chance Against: 2,D2,,L2,,5:5,,Gezogen,,Nachsetzen,0.3,,
PFVF4_SVWE,Mid Q Chance Against: 3,D2,,L3,,5:5,,Handgelenk,,Konter,0.3,,
PFVF4_SVWE,Mid Q Chance Against: 4,D2,,L1,,5:5,,Handgelenk,,Konter,0.3,,
PFVF4_SVWE,Mid Q Chance Against: 5,D2,,L3,,5:5,,Direkt,,Festsetzen,0.4,,
PFVF4_SVWE,Mid Q Chance Against: 6,D2,,"L2, L2",,5:5,,Direkt,,Auslösung,0.4,,
PFVF4_SVWE,Mid Q Chance Against: 7,D3,,L1,,5:5,,Direkt,,Festsetzen,0.3,,
PFVF4_SVWE,Penalty: 1,,,,,,,,,,,,
PFVF4_SVWE,Mid Q Chance For: 1,D1,,L2,,5:5,,Handgelenk,Simon Steiner,Konter,0.4,,
PFVF4_SVWE,Mid Q Chance For: 2,D2,,L3,,5:5,,Direkt,,Nachsetzen,0.3,,
PFVF4_SVWE,High Q Chance Against: 1,D2,,L3,,5:5,,Volley,,Auslösung,0.5,,
PFVF4_SVWE,Pot + Chance Against: 1,D3,,L2,,5:5,,Volley,,Auslösung,0.5,,
PFVF4_SVWE,Pot + Chance Against: 2,D3,,L2,,5:5,,Direkt,,Auslösung,0.5,,
PFVF4_SVWE,6:5: 1,,,,,,,,,,,,
