Timeline,Action,Drittel,Lines,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS4_WaSa (A),Low Q Chance Against: 7,D1,L1,5:5,Gezogen,Geblockt,Schwarz Janis,,Festsetzen,0.1,,
MS4_WaSa (A),Low Q Chance Against: 8,D1,L3,5:5,Gezogen,Auf Tor,,,Auslösung,0.2,,
MS4_WaSa (A),Low Q Chance Against: 9,D1,L1,5:5,Handgelenk,Auf Tor,,,Auslösung,0.1,,
MS4_WaSa (A),Low Q Chance Against: 10,D1,L2,5:5,Gezogen,Auf Tor,,,Konter,0.2,,
MS4_WaSa (A),Low Q Chance Against: 11,D1,L1,5:5,Gezogen,Geblockt,Steiner Luca,,Festsetzen,0.1,,
MS4_WaSa (A),Low Q Chance Against: 12,D2,L2,5:5,Gezogen,Neben Tor,,,Auslösung,0.2,,
MS4_WaSa (A),Low Q Chance Against: 13,D2,L1,5:5,Gezogen,Geblockt,Steiner Simon,,Standart,0.1,,
MS4_WaSa (A),Low Q Chance Against: 14,D1,L3,5:5,Gezogen,Auf Tor,,,Konter,0.1,,
MS4_WaSa (A),Low Q Chance Against: 15,D2,L3,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS4_WaSa (A),Low Q Chance Against: 16,D2,L2,5:5,Handgelenk,Auf Tor,,,Konter,0.1,,
MS4_WaSa (A),Low Q Chance Against: 17,D2,L1,5:5,,Auf Tor,,,Konter,0.1,,
MS4_WaSa (A),Low Q Chance Against: 18,D2,L1,5:5,Direkt,Neben Tor,,,Festsetzen,0.1,,
MS4_WaSa (A),Low Q Chance Against: 19,D2,L1,5:5,Gezogen,Auf Tor,,,Festsetzen,0.1,,
MS4_WaSa (A),Low Q Chance Against: 20,D3,L2,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
MS4_WaSa (A),Low Q Chance Against: 21,D3,L1,5:5,Gezogen,Neben Tor,,,Standart,0.2,,
MS4_WaSa (A),Low Q Chance Against: 22,D3,L1,5:5,Gezogen,Geblockt,Schwarz Janis,,Auslösung,0.1,,
MS4_WaSa (A),Low Q Chance Against: 23,D3,L1,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
MS4_WaSa (A),Low Q Chance Against: 24,D3,L1,5:5,Gezogen,Geblockt,Micha Strohl,,Auslösung,0.2,,
MS4_WaSa (A),Low Q Chance Against: 25,D3,L2,5:5,Handgelenk,Neben Tor,,,Konter,0.2,,
MS4_WaSa (A),Low Q Chance Against: 26,D3,L1,5:5,Gezogen,Geblockt,Maurice Aebersold,,Standart,0.1,,
MS4_WaSa (A),Low Q Chance Against: 27,D3,L2,5:5,Gezogen,Auf Tor,,,Festsetzen,0.2,,
MS4_WaSa (A),Low Q Chance For: 1,D1,L1,5:5,Gezogen,Auf Tor,Kevin Kropf,Janis Lauber,Konter,0.1,,
MS4_WaSa (A),Low Q Chance For: 2,D1,L1,5:5,Gezogen,Geblockt,Janis Schwarz,,Auslösung,0.1,,
MS4_WaSa (A),Low Q Chance For: 3,D1,L1,5:5,Direkt,Geblockt,,,Festsetzen,0.1,,
MS4_WaSa (A),Low Q Chance For: 4,D1,L3,5:5,Gezogen,Geblockt,Jan Ewald,,Standart,0.1,,
MS4_WaSa (A),Low Q Chance For: 5,D1,L1,5:5,Direkt,Auf Tor,Simon Steiner,,Standart,0.2,,
MS4_WaSa (A),Low Q Chance For: 6,D2,L2,5:5,Gezogen,Neben Tor,Björn Schenkel,Matteo Steiner,Festsetzen,0.1,,
MS4_WaSa (A),Low Q Chance For: 7,D2,L1,5:5,Volley,Auf Tor,Janis Lauber,,Nachsetzen,0.2,,
MS4_WaSa (A),Low Q Chance For: 8,D2,L2,5:5,Direkt,Geblockt,Matteo Steiner,Elias Lunnestad,Standart,0.1,,
MS4_WaSa (A),Low Q Chance For: 9,D2,L2,5:5,Direkt,Auf Tor,Matteo Steiner,Elias Lunnestad,Auslösung,0.2,,
MS4_WaSa (A),Low Q Chance For: 10,D2,L1,5:5,Gezogen,Geblockt,Janis Schwarz,Janis Lauber,Standart,0.1,,
MS4_WaSa (A),Low Q Chance For: 11,D2,L1,5:5,Direkt,Neben Tor,Simon Steiner,Janis Lauber,Standart,0.1,,
MS4_WaSa (A),Low Q Chance For: 12,D3,L1,5:5,Direkt,Auf Tor,Janis Schwarz,,Auslösung,0.2,,
MS4_WaSa (A),Low Q Chance For: 13,D3,L2,5:5,Gezogen,Geblockt,Christian Stucki,Elias Lunnestad,Auslösung,0.1,,
MS4_WaSa (A),Low Q Chance For: 14,D3,L2,5:5,Direkt,Auf Tor,Christian Stucki,Matteo Steiner,Standart,0.1,,
MS4_WaSa (A),Low Q Chance For: 15,D3,L1,5:5,Gezogen,Geblockt,Simon Steiner,Schwarz Janis,Nachsetzen,0.1,,
MS4_WaSa (A),Low Q Chance For: 16,D3,L1,5:5,Direkt,Neben Tor,Simon Steiner,,Festsetzen,0.1,,
MS4_WaSa (A),Tor Tigers: 1,D1,L3,5:5,Handgelenk,,Nick Pfister,Christian Stucki,Auslösung,0.3,,
MS4_WaSa (A),Tor Tigers: 2,D1,L1,5:5,Direkt,,Janis Lauber,Micha Strohl,Konter,0.4,,
MS4_WaSa (A),Tor Tigers: 3,D3,L2,5:5,Direkt,,Christian Stucki,Matteo Steiner,Nachsetzen,0.5,,
MS4_WaSa (A),Pot + Chance For: 1,D1,L2,5:5,Volley,,Hannes Kjellberg,,Konter,0.2,,
MS4_WaSa (A),Pot + Chance For: 2,D1,L2,5:5,Handgelenk,,Matteo Steiner,,Konter,0.3,,
MS4_WaSa (A),Pot + Chance For: 3,D3,L2,5:5,Gezogen,,Nick Pfister,,Auslösung,0.2,,
MS4_WaSa (A),Mid Q Chance Against: 1,D1,L1,5:5,Direkt,Neben Tor,,,Standart,0.3,,
MS4_WaSa (A),Mid Q Chance Against: 2,D2,L2,5:5,Direkt,Auf Tor,,,Konter,0.3,,
MS4_WaSa (A),Mid Q Chance Against: 3,D2,L1,5:5,Handgelenk,Auf Tor,,,Konter,0.3,,
MS4_WaSa (A),Mid Q Chance Against: 4,D3,L1,5:5,Direkt,Auf Tor,,,Konter,0.4,,
MS4_WaSa (A),Mid Q Chance Against: 5,D3,PP1,5:5,Direkt,Auf Tor,,,Konter,0.3,,
MS4_WaSa (A),Mid Q Chance For: 1,D2,L1,5:5,Handgelenk,Geblockt,Janis Lauber,,Nachsetzen,0.3,,
MS4_WaSa (A),Mid Q Chance For: 2,D2,L1,5:5,Direkt,Auf Tor,Simon Steiner,Micha Strohl,Konter,0.3,,
MS4_WaSa (A),High Q Chance Against: 1,D3,L1,5:5,Direkt,Auf Tor,,,Konter,0.4,,
