Spiel,Action,Drittel,Def. Zone,Linien For,Nachsetzen,Nummerische Spielsituation,Off. Zone,PeriodName,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
Playoff_VF_6,Low Q Chance For: 6,D1,,L2,,5:5,,,Handgelenk,Kevin Kropf,Auslösung,0.2,,
Playoff_VF_6,Low Q Chance For: 7,D1,,L3,,5:5,,,Gezogen,Jan Ewald,Auslösung,0.2,,
Playoff_VF_6,Low Q Chance For: 8,D1,,L2,,5:5,,,Gezogen,Kevin Kropf,Auslösung,0.2,,
Playoff_VF_6,Low Q Chance For: 9,D1,,L1,,5:5,,,Gezogen,Luca Steiner,Festsetzen,0.1,,
Playoff_VF_6,Low Q Chance For: 10,D1,,L1,,5:5,,,Gezogen,Matteo Steiner,Konter,0.1,,
Playoff_VF_6,Low Q Chance For: 11,D1,,L1,,5:5,,,Gezogen,Martin Mosimann,Festsetzen,0.2,,
Playoff_VF_6,Low Q Chance For: 12,D1,,,,5:5,,,Gezogen,Nick Pfister,Auslösung,0.1,,
Playoff_VF_6,Low Q Chance For: 13,D2,,L1,,5:5,,,Direkt,,Festsetzen,0.1,,
Playoff_VF_6,Low Q Chance For: 14,D2,,L3,,5:5,,,Handgelenk,Janis Schwarz,Konter,0.2,,
Playoff_VF_6,Low Q Chance For: 15,D2,,L1,,5:5,,,Gezogen,Matteo Steiner,Auslösung,0.2,,
Playoff_VF_6,Low Q Chance For: 16,D2,,L2,,5:5,,,Gezogen,Simon Steiner,Standart,0.2,,
Playoff_VF_6,Low Q Chance For: 17,D2,,L2,,5:5,,,Gezogen,,Festsetzen,0.1,,
Playoff_VF_6,Low Q Chance For: 18,D2,,L2,,5:5,,,Gezogen,Simon Steiner,Nachsetzen,0.2,,
Playoff_VF_6,Low Q Chance For: 19,D2,,L2,,5:5,,,Volley,Kevin Kropf,Nachsetzen,0.2,,
Playoff_VF_6,Low Q Chance For: 20,D3,,L1,,5:5,,,Gezogen,Thomas Gfeller,Konter,0.3,,
Playoff_VF_6,Low Q Chance For: 21,D3,,L2,,5:5,,,Volley,Simon Steiner,Auslösung,0.2,,
Playoff_VF_6,Divers: 1,D1,,L3,,5:5,,,,Janis Schwarz,Standart,,,
Playoff_VF_6,Divers: 2,D1,,L3,,5:5,,,,Nick Pfister,Auslösung,,,
Playoff_VF_6,Divers: 3,D2,,L2,,5:5,,,,Kevin Kropf,,,,
