Timeline,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS3_SVWE,Tor Gegner: 4,D3,L1,5:5,Direkt,,,,Konter,0.5,,
MS3_SVWE,Mid Q Chance Against: 1,D1,L2,5:5,Gezogen,Auf Tor,,,Nachsetzen,0.3,,
MS3_SVWE,Mid Q Chance Against: 2,D1,L2,5:5,Direkt,Auf Tor,,,Standart,0.2,,
MS3_SVWE,Mid Q Chance Against: 3,D2,L1,5:5,Gezogen,Neben Tor,,,Konter,0.3,,
MS3_SVWE,Mid Q Chance Against: 4,D2,L2,5:5,Gezogen,Geblockt,Björn Schenkel,,Konter,0.3,,
MS3_SVWE,Mid Q Chance Against: 5,D3,L1,5:5,Handgelenk,Auf Tor,,,Konter,0.4,,
MS3_SVWE,Mid Q Chance Against: 6,D3,L2,5:5,Direkt,Auf Tor,,,Konter,0.4,,
MS3_SVWE,Mid Q Chance For: 1,D1,L2,5:5,Handgelenk,Auf Tor,Hannes Kjellberg,,Nachsetzen,0.3,,
MS3_SVWE,Mid Q Chance For: 2,D2,L2,5:5,Gezogen,Auf Tor,Matteo Steiner,,Auslösung,0.3,,
MS3_SVWE,Mid Q Chance For: 3,D3,L1,5:5,Direkt,Auf Tor,Simon Steiner,Kevin Kropf,Auslösung,0.3,,
MS3_SVWE,Tor Tigers: 1,D1,PP1,5:4,Gezogen,,Janis Lauber,,,0.2,,
MS3_SVWE,Tor Tigers: 2,D2,PP1,5:4,"Direkt, Direkt",,Janis Lauber,,,0.2,,
MS3_SVWE,Tor Tigers: 3,D3,6:5,6:5,Gezogen,,Kevin Kropf,,Nachsetzen,0.2,,
MS3_SVWE,Tor Tigers: 4,D3,6:5,6:5,Volley,,Elias Lunnestad,Matteo Steiner,,0.3,,
MS3_SVWE,Tor Tigers: 5,OT,PP1,5:4,Volley,,Kevin Kropf,,,0.5,,
MS3_SVWE,Pot + Chance For: 1,D1,L2,5:5,Gezogen,,Luca Steiner,,,0.1,,
MS3_SVWE,Pot + Chance For: 2,D2,L2,5:5,Volley,,Luca Steiner,,Konter,0.2,,
MS3_SVWE,Pot + Chance For: 3,D3,L1,5:5,Direkt,,Kevin Kropf,Janis Lauber,Auslösung,0.3,,
MS3_SVWE,Pot + Chance For: 4,D3,L2,5:5,Direkt,,Hannes Kjellberg,,Konter,0.3,,
MS3_SVWE,Pot + Chance Against: 1,D2,L3,5:5,Direkt,,,,Konter,0.5,,
MS3_SVWE,High Q Chance For: 1,D3,L1,5:5,Direkt,Neben Tor,Janis Lauber,Schwarz Janis,Auslösung,0.5,,
MS3_SVWE,High Q Chance Against: 1,OT,L1,5:5,Gezogen,Auf Tor,,,Auslösung,0.5,,
