Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS15_Wiler_A,Low Q Chance Against: 13,D2,L3,5:5,Gezogen,Geblockt,Strohl Micha,,Standart,0.1,,
MS15_Wiler_A,Low Q Chance Against: 14,D2,L1,5:5,Gezogen,Auf Tor,,,Auslösung,0.1,,
MS15_Wiler_A,Low Q Chance Against: 15,D2,L1,5:5,Gezogen,Auf Tor,,,Konter,0.3,,
MS15_Wiler_A,Low Q Chance Against: 16,D2,L2,5:5,Gezogen,Auf Tor,,,Auslösung,0.2,,
MS15_Wiler_A,Low Q Chance Against: 17,D2,L3,5:5,Gezogen,Neben Tor,,,Auslösung,0.1,,
MS15_Wiler_A,Low Q Chance Against: 18,D2,L2,5:5,Handgelenk,Geblockt,Luca Fankhauser,,Festsetzen,0.1,,
MS15_Wiler_A,Low Q Chance Against: 19,D2,L1,5:5,Direkt,Auf Tor,,,Standart,0.1,,
MS15_Wiler_A,Low Q Chance Against: 20,D2,L1,5:5,Direkt,Geblockt,Christian Stucki,,Festsetzen,0.2,,
MS15_Wiler_A,Low Q Chance Against: 21,D3,L2,5:5,Direkt,Auf Tor,,,Auslösung,0.2,,
MS15_Wiler_A,Low Q Chance Against: 22,D3,L1,5:5,Gezogen,Geblockt,Elias Lunnestad,,Auslösung,0.1,,
MS15_Wiler_A,Low Q Chance Against: 23,D3,L2,5:5,Handgelenk,Auf Tor,,,Standart,0.1,,
MS15_Wiler_A,Tor Tigers: 1,D1,PP1,5:4,Gezogen,,Matteo Steiner,,,0.3,,
MS15_Wiler_A,Tor Tigers: 2,D1,L3,5:5,Gezogen,,Luca Steiner,,Auslösung,0.2,,
MS15_Wiler_A,Tor Tigers: 3,D2,L2,5:5,Gezogen,,Nick Pfister,,Auslösung,0.3,,
MS15_Wiler_A,Tor Tigers: 4,D2,BP2,4:5,,,Matteo Steiner,,Konter,0.5,,
MS15_Wiler_A,Tor Tigers: 5,D3,PP1,,Direkt,,,,,0.5,,
MS15_Wiler_A,Tor Gegner: 1,D1,L3,5:5,Handgelenk,,,,Konter,0.3,,
MS15_Wiler_A,Tor Gegner: 2,D1,L2,5:5,Direkt,,,,Auslösung,0.2,,
MS15_Wiler_A,Tor Gegner: 3,D2,L1,5:5,Direkt,,,,Nachsetzen,0.6,,
MS15_Wiler_A,Tor Gegner: 4,D2,L2,5:5,Direkt,,,,Konter,0.7,,
MS15_Wiler_A,Tor Gegner: 5,D3,L1,5:5,Gezogen,,,,Auslösung,0.3,,
MS15_Wiler_A,Tor Gegner: 6,D3,L1,5:5,Handgelenk,,,,Auslösung,0.3,,
MS15_Wiler_A,Tor Gegner: 7,D3,L1,5:5,Gezogen,,,,Konter,0.1,,
MS15_Wiler_A,Tor Gegner: 8,D3,L1,5:5,Direkt,,,,Konter,0.7,,
MS15_Wiler_A,Tor Gegner: 9,D3,6:5,6:5,,,,,,0.7,,
MS15_Wiler_A,Tor Gegner: 10,D3,6:5,5:5,,,,,Konter,0.5,,
MS15_Wiler_A,Tor Gegner: 11,D3,L1,5:5,,,,,Konter,0.4,,
MS15_Wiler_A,Low Q Chance For: 1,D1,L1,5:5,,Geblockt,Christian Stucki,,,0.2,,
MS15_Wiler_A,Low Q Chance For: 2,D1,L3,5:5,Gezogen,Geblockt,,,Standart,0.1,,
MS15_Wiler_A,Low Q Chance For: 3,D1,L2,5:5,Handgelenk,Auf Tor,Matteo Steiner,Nick Pfister,Konter,0.2,,
MS15_Wiler_A,Low Q Chance For: 4,D2,L1,5:5,Gezogen,Auf Tor,Elias Lunnestad,,Auslösung,0.1,,
MS15_Wiler_A,Low Q Chance For: 5,D2,L1,5:5,Gezogen,Auf Tor,Kevin Kropf,Elias Lunnestad,Standart,0.2,,
MS15_Wiler_A,Low Q Chance For: 6,D2,L1,5:5,Gezogen,Neben Tor,Kevin Kropf,,Konter,0.1,,
MS15_Wiler_A,Low Q Chance For: 7,D2,L1,5:5,Direkt,Auf Tor,Simon Steiner,Gustav Svensson,Auslösung,0.2,,
MS15_Wiler_A,Low Q Chance For: 8,D3,L1,5:5,Gezogen,Neben Tor,Elias Lunnestad,,Auslösung,0.1,,
MS15_Wiler_A,Low Q Chance For: 9,D3,L2,5:5,Handgelenk,Neben Tor,Nick Pfister,Matteo Steiner,Nachsetzen,0.2,,
MS15_Wiler_A,Low Q Chance For: 10,D3,L2,5:5,Gezogen,Geblockt,Luca Fankhauser,Nick Pfister,Festsetzen,0.1,,
MS15_Wiler_A,ZOE For: 1,D1,L1,5:5,,,,,Auslösung,,Good,
MS15_Wiler_A,ZOE For: 2,D1,L2,5:5,,,,,Auslösung,,Bad,
MS15_Wiler_A,ZOE For: 3,D1,L1,5:5,,,Elias Lunnestad,,Auslösung,,Bad,
