Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,XG,Taktische Spielsituation,ZOE_For,ZOE_Against,
MS12_Zug_H,Low Q Chance For: 25,D3,L3,5:5,Direkt,Geblockt,Luca Fankhauser,,0.2,Standart,,,
MS12_Zug_H,Low Q Chance For: 26,D3,L1,5:5,Gezogen,Auf Tor,Simon Steiner,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance For: 27,D3,L1,5:5,Direkt,Auf Tor,Micha Strohl,,0.1,Festsetzen,,,
MS12_Zug_H,Low Q Chance For: 28,D3,L2,5:5,Gezogen,Neben Tor,Matteo Steiner,,0.2,Festsetzen,,,
MS12_Zug_H,ZOE Gegner: 1,D1,L2,5:5,,,,,,Auslösung,,Good,
MS12_Zug_H,ZOE Gegner: 2,D1,L1,5:5,,,,,,Auslösung,,Bad,
MS12_Zug_H,ZOE Gegner: 3,D1,L3,5:5,,,,,,Auslösung,,Good,
MS12_Zug_H,ZOE Gegner: 4,D2,L3,5:5,,,,,,Auslösung,,Good,
MS12_Zug_H,ZOE Gegner: 5,D2,L1,5:5,,,,,,Auslösung,,Good,
MS12_Zug_H,ZOE Gegner: 6,D2,L3,5:5,,,,,,Auslösung,,Good,
MS12_Zug_H,ZOE Gegner: 7,D3,L2,5:5,,,,,,Auslösung,,Bad,
MS12_Zug_H,ZOE Gegner: 8,D3,L2,5:5,,,,,,Auslösung,,Bad,
MS12_Zug_H,Low Q Chance Against: 1,D1,L2,5:5,Gezogen,Neben Tor,,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 2,D1,L2,5:5,Direkt,Neben Tor,,,0.2,Standart,,,
MS12_Zug_H,Low Q Chance Against: 3,D1,L3,5:5,Gezogen,Geblockt,Jan Ewald,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 4,D1,L3,5:5,Gezogen,Geblockt,Micha Strohl,,0.1,Auslösung,,,
MS12_Zug_H,Low Q Chance Against: 5,D1,L3,5:5,Gezogen,Geblockt,Martin Mosimann,,0.1,Festsetzen,,,
MS12_Zug_H,Low Q Chance Against: 6,D1,L1,5:5,Gezogen,Auf Tor,,,0.1,Festsetzen,,,
MS12_Zug_H,Low Q Chance Against: 7,D1,L2,5:5,Gezogen,Geblockt,Matteo Steiner,,0.1,Standart,,,
