Spiel,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS5_HCR,ZOE For: 18,D3,L2,5:5,,,,,,,Bad,
MS5_HCR,ZOE For: 19,D3,L3,5:5,,,,,,,Good,
MS5_HCR,ZOE For: 20,D3,L3,5:5,,,,,,,Good,
MS5_HCR,ZOE Gegner: 1,D1,L3,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 2,D1,L1,5:5,,,,,,,,Bad
MS5_HCR,ZOE Gegner: 3,D1,L2,5:5,,,,,,,,Bad
MS5_HCR,ZOE Gegner: 4,D1,L1,5:5,,,,,,,,Bad
MS5_HCR,ZOE Gegner: 5,D1,L1,5:5,,,,,,,,Bad
MS5_HCR,ZOE Gegner: 6,D1,L2,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 7,D1,L3,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 8,D2,L1,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 9,D2,L1,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 10,D2,L2,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 11,D2,L2,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 12,D2,L3,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 13,D2,L2,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 14,D3,L1,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 15,D3,L3,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 16,D3,L3,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 17,D3,L2,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 18,D3,L1,5:5,,,,,,,,Good
MS5_HCR,ZOE Gegner: 19,D3,L2,5:5,,,,,,,,Good
MS5_HCR,Zone-Exits: 1,D1,L1,5:5,,,,,,,Bad,
MS5_HCR,Zone-Exits: 2,D1,L3,5:5,,,,,,,Bad,
MS5_HCR,Zone-Exits: 3,D1,L2,5:5,,,,,,,Bad,
MS5_HCR,Zone-Exits: 4,,,,,,,,,,Bad,
MS5_HCR,Zone-Exits: 5,,,,,,,,,,Bad,
MS5_HCR,Zone-Exits: 6,,,,,,,,,,Good,
MS5_HCR,PP1: 1,,,,,,,,,,,
MS5_HCR,PP1: 2,,,,,,,,,,,
MS5_HCR,PP1: 3,,,,,,,,,,,
MS5_HCR,PP2: 1,,,,,,,,,,,
MS5_HCR,PP2: 2,,,,,,,,,,,
MS5_HCR,6:5,,,,,,,,,,,
