Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS22_Basel,Low Q Chance For: 25,D3,L1,,5:5,Gezogen,"Auf Tor, Geblockt, Geblockt",Martin Mosimann,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 26,D3,L1,,5:5,Handgelenk,Neben Tor,Luca Fankhauser,Auslösung,0.2,,
MS22_Basel,Low Q Chance For: 27,D3,L2,,5:5,Direkt,"Geblockt, Geblockt",Simon Steiner,Festsetzen,0.2,,
MS22_Basel,Low Q Chance For: 28,D3,L2,,5:5,Direkt,"Neben Tor, Auf Tor, Auf Tor, Auf Tor",Kevin Kropf,Konter,0.2,,
MS22_Basel,Low Q Chance For: 29,D3,L1,,5:5,Gezogen,Geblockt,Matteo Steiner,Auslösung,0.1,,
MS22_Basel,Low Q Chance For: 30,D3,L1,,5:5,Gezogen,Neben Tor,Matteo Steiner,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 31,D3,L2,,5:5,Gezogen,"Auf Tor, Auf Tor",Simon Steiner,Standart,0.1,,
MS22_Basel,Low Q Chance For: 32,D3,L2,,5:5,Direkt,Geblockt,Gustav Svensson,Auslösung,0.1,,
MS22_Basel,Low Q Chance For: 33,D3,L3,,5:5,Gezogen,Geblockt,Maurice Aebersold,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 34,D3,L1,,5:5,Gezogen,Auf Tor,Nick Pfister,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 35,D3,L2,,5:5,Gezogen,Auf Tor,Christian Stucki,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 36,D3,L1,,5:5,Volley,Auf Tor,,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 37,D3,L1,,5:5,Direkt,Geblockt,Luca Fankhauser,Festsetzen,0.2,,
MS22_Basel,Low Q Chance For: 38,D3,L2,,5:5,Gezogen,Auf Tor,Simon Steiner,Festsetzen,0.1,,
MS22_Basel,Low Q Chance For: 39,D3,L2,,5:5,Gezogen,Auf Tor,Kevin Kropf,Konter,0.1,,
MS22_Basel,Low Q Chance For: 40,D3,L2,,5:5,Gezogen,Neben Tor,Kevin Kropf,Konter,0.1,,
MS22_Basel,Low Q Chance For: 41,D3,L2,,5:5,Gezogen,Auf Tor,Kevin Kropf,Konter,0.2,,
MS22_Basel,Pressing: 1,D1,L2,Good,5:5,,,,Pressing,,,
MS22_Basel,Pressing: 2,D1,L2,Good,5:5,,,,Pressing,,,
MS22_Basel,Pressing: 3,D1,L2,Good,5:5,,,,Pressing,,,
