Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Spieler Tigers,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
PFVF3_SVWE,Low Q Chance For: 17,D3,L2,,5:5,Direkt,Thomas Gfeller,Festsetzen,0.2,,
PFVF3_SVWE,ZOE Gegner: 1,D1,L1,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 2,D1,L1,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 3,D1,L3,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 4,D1,L2,,5:5,,,Auslösung,,,Bad
PFVF3_SVWE,ZOE Gegner: 5,D1,L3,,5:5,,,Auslösung,,,Bad
PFVF3_SVWE,ZOE Gegner: 6,D1,L2,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 7,D1,L2,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 8,D1,L1,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 9,D1,"L2, L2",,5:5,,,Auslösung,,,Bad
PFVF3_SVWE,ZOE Gegner: 10,D1,L1,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 11,D1,L1,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 12,D1,L2,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 13,D1,L2,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 14,D2,L2,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 15,D2,L3,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 16,D2,L2,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 17,D2,L3,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 18,D2,L2,,5:5,,,Auslösung,,,Bad
PFVF3_SVWE,ZOE Gegner: 19,D2,L2,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 20,D2,L2,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 21,D3,L2,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 22,D3,"L2, L2",,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 23,D3,L2,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 24,D3,L1,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,ZOE Gegner: 25,D3,L2,,5:5,,,Auslösung,,,Bad
PFVF3_SVWE,ZOE Gegner: 26,D3,L1,,5:5,,,Auslösung,,,Good
PFVF3_SVWE,Low Q Chance Against: 1,D1,L3,,5:5,Gezogen,,Standart,0.1,,
PFVF3_SVWE,Low Q Chance Against: 2,D1,L2,,5:5,Gezogen,,Konter,0.1,,
PFVF3_SVWE,Low Q Chance Against: 3,D1,L3,,5:5,Gezogen,,Auslösung,0.1,,
PFVF3_SVWE,Low Q Chance Against: 4,D1,L3,,5:5,Handgelenk,,Standart,0.1,,
PFVF3_SVWE,Low Q Chance Against: 5,D1,L2,,5:5,Gezogen,,Auslösung,0.1,,
PFVF3_SVWE,Low Q Chance Against: 6,D1,L2,,5:5,Direkt,,Festsetzen,0.2,,
PFVF3_SVWE,Low Q Chance Against: 7,D1,L3,,5:5,Gezogen,,Standart,0.2,,
PFVF3_SVWE,Low Q Chance Against: 8,D1,L3,,5:5,Handgelenk,,Standart,0.1,,
PFVF3_SVWE,Low Q Chance Against: 9,D2,L2,,5:5,Gezogen,,Auslösung,0.1,,
PFVF3_SVWE,Low Q Chance Against: 10,D2,L2,,5:5,Handgelenk,,Festsetzen,0.2,,
PFVF3_SVWE,Low Q Chance Against: 11,D2,L3,,5:5,Gezogen,,,0.2,,
PFVF3_SVWE,Low Q Chance Against: 12,D2,L1,,5:5,Gezogen,,Auslösung,0.1,,
PFVF3_SVWE,Low Q Chance Against: 13,D2,L2,,5:5,Handgelenk,,Festsetzen,0.1,,
PFVF3_SVWE,Low Q Chance Against: 14,D3,L1,,5:5,Gezogen,,Konter,0.2,,
PFVF3_SVWE,Low Q Chance Against: 15,D3,L1,,5:5,Direkt,,Festsetzen,0.2,,
PFVF3_SVWE,Low Q Chance Against: 16,D3,L1,,5:5,Gezogen,,Auslösung,0.1,,
PFVF3_SVWE,Low Q Chance Against: 17,D3,L1,,5:5,Gezogen,,Festsetzen,0.2,,
PFVF3_SVWE,Standart ohne Ball: 1,D1,L1,,5:5,,,Standart,,,
PFVF3_SVWE,Standart ohne Ball: 2,D1,L1,,5:5,,,Standart,,,
PFVF3_SVWE,Standart ohne Ball: 3,D1,L3,,5:5,,,Standart,,,
PFVF3_SVWE,Standart ohne Ball: 4,D1,L1,,5:5,,,Standart,,,
PFVF3_SVWE,Standart ohne Ball: 5,D1,L1,,5:5,,,Standart,,,
