Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Nummerische Spielsituation_DEF,Nummerische Spielsituation_OFF,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against,Zentralline
MS20_Uster,Low Q Chance Against: 5,D1,L2,,5:5,,,Handgelenk,Auf Tor,,,Konter,0.1,,,
MS20_Uster,Low Q Chance Against: 6,D1,L2,,5:5,,,Handgelenk,Geblockt,,,Konter,0.1,,,
MS20_Uster,Low Q Chance Against: 7,D1,L2,,5:5,,,Gezogen,Neben Tor,,,Auslösung,0.1,,,
MS20_Uster,Low Q Chance Against: 8,D2,L1,,5:5,,,Gezogen,Auf Tor,,,Konter,0.1,,,
MS20_Uster,Low Q Chance Against: 9,D2,L3,,5:5,,,Handgelenk,Auf Tor,,,Auslösung,0.1,,,
MS20_Uster,Low Q Chance Against: 10,D2,L3,,5:5,,,Gezogen,Neben Tor,,,Festsetzen,0.1,,,
MS20_Uster,Low Q Chance Against: 11,D2,L1,,5:5,,,Direkt,Geblockt,,,Auslösung,0.1,,,
MS20_Uster,Low Q Chance Against: 12,D2,L3,,5:5,,,Gezogen,Geblockt,,,Konter,0.1,,,
MS20_Uster,Low Q Chance Against: 13,D2,L2,,5:5,,,Gezogen,Neben Tor,,,Konter,0.1,,,
MS20_Uster,Low Q Chance Against: 14,D2,L1,,5:5,,,Direkt,Auf Tor,,,Konter,0.2,,,
MS20_Uster,Low Q Chance Against: 15,D2,L1,,5:5,,,Direkt,Auf Tor,,,Auslösung,0.2,,,
MS20_Uster,Low Q Chance Against: 16,D3,L1,,5:5,,,Gezogen,,,,Konter,0.2,,,
MS20_Uster,Low Q Chance Against: 17,D3,L2,,5:5,,,Gezogen,,,,Auslösung,0.1,,,
MS20_Uster,Low Q Chance Against: 18,D3,L1,,5:5,,,Gezogen,,,,Standart,0.1,,,
MS20_Uster,ZOE For: 1,D1,L2,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 2,D1,L2,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 3,D1,L3,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 4,D1,L3,,5:5,,,,,,,Auslösung,,Bad,,
MS20_Uster,ZOE For: 5,D1,L2,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 6,D1,L1,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 7,D1,L2,,5:5,,,,,,,Auslösung,,Bad,,
MS20_Uster,ZOE For: 8,D1,L1,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 9,D1,L3,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 10,D1,L2,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 11,D1,L3,,5:5,,,,,,,Auslösung,,Bad,,
MS20_Uster,ZOE For: 12,D2,L2,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 13,D2,L2,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 14,D3,L3,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 15,D2,L2,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 16,D2,L1,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 17,D2,L1,,5:5,,,,,,,Auslösung,,Bad,,
MS20_Uster,ZOE For: 18,D2,L1,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 19,D3,L1,,5:5,,,,,,,Auslösung,0.6,Good,,
MS20_Uster,ZOE For: 20,D3,L2,,5:5,,,,,,,Auslösung,,Good,,
MS20_Uster,ZOE For: 21,D3,L2,,5:5,,,,,,,Auslösung,,Bad,,
MS20_Uster,ZOE For: 22,D3,L2,,5:5,,,,,,,Auslösung,,Bad,,
MS20_Uster,Low Q Chance For: 1,D1,L2,,5:5,,,Direkt,Neben Tor,Matteo Steiner,,Festsetzen,0.1,,,
MS20_Uster,Low Q Chance For: 2,D1,L2,,5:5,,,Gezogen,Geblockt,"Gustav Svensson, Gustav Svensson",,Auslösung,0.1,,,
MS20_Uster,Low Q Chance For: 3,D1,L2,,5:5,,,Gezogen,Auf Tor,Christian Stucki,,Auslösung,0.2,,,
MS20_Uster,Low Q Chance For: 4,D1,L2,,5:5,,,Direkt,,Gustav Svensson,,Nachsetzen,0.1,,,
MS20_Uster,Low Q Chance For: 5,D2,L3,,5:5,,,Gezogen,Auf Tor,Martin Mosimann,,Standart,0.1,,,
MS20_Uster,Low Q Chance For: 6,D2,L3,,5:5,,,Gezogen,Auf Tor,Elias Lunnestad,,Festsetzen,0.1,,,
MS20_Uster,Low Q Chance For: 7,D2,L1,,5:5,,,Direkt,Geblockt,Simon Steiner,,Auslösung,0.1,,,
MS20_Uster,Low Q Chance For: 8,D2,L1,,5:5,,,Handgelenk,Auf Tor,Simon Steiner,,Festsetzen,0.1,,,
MS20_Uster,Low Q Chance For: 9,D2,L1,,5:5,,,Handgelenk,Auf Tor,Luca Fankhauser,,Auslösung,0.1,,,
MS20_Uster,Low Q Chance For: 10,D3,L1,,5:5,,,Gezogen,Auf Tor,Martin Mosimann,,Auslösung,0.2,,,
MS20_Uster,Low Q Chance For: 11,D3,L2,,5:5,,,Handgelenk,Auf Tor,,,Auslösung,0.1,,,
MS20_Uster,Low Q Chance For: 12,D3,L2,,5:5,,,Gezogen,Auf Tor,Kevin Kropf,,Konter,0.1,,,
MS20_Uster,Low Q Chance For: 13,D3,L2,,5:5,,,Handgelenk,Geblockt,Micha Strohl,,Auslösung,0.1,,,
MS20_Uster,Low Q Chance For: 14,D3,L2,,5:5,,,Direkt,Auf Tor,Simon Steiner,,Festsetzen,0.2,,,
