Spiel,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS18_Malans H,Low Q Chance Against: 19,D3,L2,,5:5,Gezogen,Geblockt,Luca Fankhauser,,Standart,0.1,,
MS18_Malans H,Low Q Chance Against: 20,D3,L1,,5:5,Handgelenk,Neben Tor,,,Festsetzen,0.1,,
MS18_Malans H,Low Q Chance Against: 21,D3,L2,,5:5,Direkt,Auf Tor,,,Festsetzen,0.2,,
MS18_Malans H,Low Q Chance Against: 22,D3,L2,,5:5,Handgelenk,Auf Tor,,,Auslösung,0.3,,
MS18_Malans H,High Q Chance For: 1,D1,L1,,5:5,Handgelenk,,Simon Steiner,,Konter,0.4,,
MS18_Malans H,High Q Chance For: 2,D1,L3,,5:5,,,Christian Stucki,,Auslösung,0.6,,
MS18_Malans H,High Q Chance For: 3,D2,L1,,5:5,Handgelenk,,Kevin Kropf,,Konter,0.5,,
MS18_Malans H,High Q Chance For: 4,D2,L1,,5:5,Gezogen,,Kevin Kropf,,Konter,0.5,,
MS18_Malans H,High Q Chance For: 5,D2,L2,,5:5,Direkt,,Nick Pfister,,Standart,0.5,,
MS18_Malans H,Low Q Chance For: 1,D1,L1,,5:5,Handgelenk,Geblockt,,,Festsetzen,0.1,,
MS18_Malans H,Low Q Chance For: 2,D1,L2,,5:5,Gezogen,Geblockt,Luca Fankhauser,,Standart,0.1,,
MS18_Malans H,Low Q Chance For: 3,D1,L2,,5:5,Gezogen,Geblockt,Matteo Steiner,,Standart,0.1,,
MS18_Malans H,Low Q Chance For: 4,D1,L2,,5:5,Handgelenk,Geblockt,Luca Fankhauser,,Auslösung,0.1,,
MS18_Malans H,Low Q Chance For: 5,D1,L2,,5:5,Gezogen,Auf Tor,Lukas Münger,,Festsetzen,0.2,,
MS18_Malans H,Low Q Chance For: 6,D1,L3,,5:5,Gezogen,Auf Tor,Martin Mosimann,,Auslösung,0.2,,
MS18_Malans H,Low Q Chance For: 7,D1,L3,,5:5,Gezogen,Auf Tor,Christian Stucki,,Standart,0.1,,
MS18_Malans H,Low Q Chance For: 8,D1,L1,,5:5,Gezogen,Auf Tor,Kevin Kropf,,Standart,0.1,,
MS18_Malans H,Low Q Chance For: 9,D1,L2,,5:5,Gezogen,Auf Tor,Nick Pfister,,Auslösung,0.1,,
MS18_Malans H,Low Q Chance For: 10,D1,L2,,5:5,Gezogen,Neben Tor,Luca Fankhauser,,Nachsetzen,0.2,,
MS18_Malans H,Low Q Chance For: 11,D2,L2,,5:5,Gezogen,Geblockt,Matteo Steiner,,Auslösung,0.1,,
MS18_Malans H,Low Q Chance For: 12,D2,L2,,5:5,Gezogen,Auf Tor,"Matteo Steiner, Matteo Steiner",,Auslösung,0.2,,
MS18_Malans H,Low Q Chance For: 13,D2,L1,,5:5,Gezogen,Auf Tor,Kevin Kropf,,Festsetzen,0.3,,
MS18_Malans H,Low Q Chance For: 14,D2,L2,,5:5,Handgelenk,Geblockt,,,Konter,0.1,,
MS18_Malans H,Low Q Chance For: 15,D2,L1,,5:5,Direkt,Geblockt,Kevin Kropf,,Festsetzen,0.2,,
MS18_Malans H,Low Q Chance For: 16,D2,L2,,5:5,Gezogen,Auf Tor,Nick Pfister,,Festsetzen,0.3,,
MS18_Malans H,Low Q Chance For: 17,D2,L2,,5:5,Gezogen,Geblockt,Nick Pfister,,Konter,0.2,,
MS18_Malans H,Low Q Chance For: 18,D2,L1,,5:5,Gezogen,Geblockt,Gustav Svensson,,Festsetzen,0.2,,
MS18_Malans H,Low Q Chance For: 19,D2,L1,,5:5,Volley,Neben Tor,Kevin Kropf,,Auslösung,0.1,,
MS18_Malans H,Low Q Chance For: 20,D2,L1,,5:5,Gezogen,,Simon Steiner,,Standart,0.1,,
MS18_Malans H,Low Q Chance For: 21,"D3, D3","L2, L2",,"5:5, 5:5","Direkt, Gezogen",Neben Tor,"Nick Pfister, Nick Pfister",,"Auslösung, Nachsetzen","0.3, 0.2",,
MS18_Malans H,Low Q Chance For: 22,D3,L1,,5:5,Gezogen,Neben Tor,Simon Steiner,,Konter,0.2,,
MS18_Malans H,Low Q Chance For: 23,D3,L1,,5:5,Direkt,Neben Tor,,,Festsetzen,0.2,,
MS18_Malans H,Low Q Chance For: 24,D3,L2,,5:5,Direkt,,Luca Fankhauser,,Auslösung,0.2,,
MS18_Malans H,Low Q Chance For: 25,D3,L1,,5:5,Gezogen,Geblockt,Gustav Svensson,,Auslösung,0.2,,
MS18_Malans H,Low Q Chance For: 26,D3,L1,,5:5,Gezogen,Neben Tor,Simon Steiner,,Festsetzen,0.2,,
MS18_Malans H,Low Q Chance For: 27,D3,L1,,5:5,Handgelenk,Auf Tor,Micha Strohl,,Auslösung,0.2,,
