Timeline,Action,Drittel,Linien For,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Spieler involved ,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS9_Uster H,Low Q Chance Against: 25,D3,L2,5:6,Gezogen,Geblockt,Matteo Steiner,,,,0.1,,
MS9_Uster H,Low Q Chance Against: 26,D3,L2,5:5,Gezogen,Geblockt,Janis Lauber,,,,0.1,,
MS9_Uster H,Low Q Chance Against: 27,D3,L1,5:5,Gezogen,,,,,,0.2,,
MS9_Uster H,ZOE For: 1,D1,L2,5:5,,,,,,Auslösung,,Bad,
MS9_Uster H,ZOE For: 2,D1,L2,5:5,,,,,,Auslösung,,Bad,
MS9_Uster H,ZOE For: 3,D1,L1,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 4,D1,L2,5:5,,,,,,Auslösung,,Bad,
MS9_Uster H,ZOE For: 5,D1,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 6,D1,L2,5:5,,,,,,Auslösung,,Bad,
MS9_Uster H,ZOE For: 7,D1,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 8,D1,L1,5:5,,,,,,Auslösung,,Bad,
MS9_Uster H,ZOE For: 9,D1,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 10,D1,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 11,D1,L1,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 12,D2,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 13,D2,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 14,D2,L1,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 15,D2,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 16,D2,L1,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 17,D2,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 18,D2,L2,5:5,,,,,,Auslösung,,Bad,
MS9_Uster H,ZOE For: 19,D2,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 20,D3,L2,5:5,,,,,,Auslösung,,Good,
MS9_Uster H,ZOE For: 21,D3,L1,5:5,,,,,,Auslösung,,Bad,
MS9_Uster H,ZOE For: 22,D3,L1,5:5,,,,,,Auslösung,,Good,
