league,Timeline,team_for,team_against,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Pot + Chance For: 1,D1,L2,,5:5,Direkt,,Festsetzen,0.40,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Pressing Against: 1,D1,L1,,5:5,,,Pressing,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Pressing For: 1,D1,L3,Good,5:5,,,Pressing,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Pressing For: 2,D1,L2,Bad,5:5,,,Pressing,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 1,,,,"1:1, Zone-Entries Skills",,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 2,,,,1:1,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 3,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 4,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 5,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 6,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 7,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 8,,,,,,,,0.70,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 9,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 10,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 11,,,,,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Skills: 12,,,,,Direkt,,,0.80,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Tor Tschechien: 1,D1,L2,,5:5,Direkt,,Zone-Exits,0.80,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Tor Tschechien: 2,D1,L1,,5:5,Direkt,,Pressing,0.55,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Tor Tschechien: 3,D2,L3,,5:5,,,Konter,0.45,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Tor Schweden: 1,D1,L1,,5:5,Gezogen,,Forechecking,0.55,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Tor Schweden: 2,D2,PP1,,5:4,Direkt,,,0.70,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Tor Schweden: 3,D3,PP1,,5:4,,,,0.55,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Tor Schweden: 4,D3,PP1,,5:4,Direkt,,,0.80,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Unkontrolliert: 1,D1,L2,,5:5,,,,,,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Against gg. Pressing: 1,D1,,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 1,D1,L2,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 2,D1,L1,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 3,D1,L2,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 4,D1,L2,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 5,D1,L3,,5:5,,,Auslösung,,Bad,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 6,D1,L3,,5:5,,,Festsetzen,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 7,D1,L3,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 8,D1,L1,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 9,D1,L3,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 10,D1,L3,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 11,D2,L2,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 12,D1,L2,,5:5,,,Auslösung,,Bad,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 13,D2,,,5:5,,,Auslösung,,Bad,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 14,D2,L1,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 15,D2,L2,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 16,D2,L1,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE For: 17,D2,L2,,5:5,,,,,Bad,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 1,D1,L3,,5:5,,,Auslösung,,,Good
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 2,D1,L1,,5:5,,,Auslösung,,,Good
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 3,D1,L2,,5:5,,,Auslösung,,,Good
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 4,D1,L3,,5:5,,,Auslösung,,,Bad
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 5,D1,L2,,5:5,,,Auslösung,,,Bad
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 6,D2,L3,,5:5,,,Auslösung,,,Bad
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 7,D3,,,5:5,,,Auslösung,,,Good
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 8,D2,L2,,5:5,,,Auslösung,,,Bad
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 9,D2,L2,,5:5,,,Auslösung,,,Good
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 10,D2,,,5:5,,,Auslösung,,,Good
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 11,D3,L2,,5:5,,,Auslösung,,,Good
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 12,D3,L3,,5:5,,,Auslösung,,,Good
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 13,D3,L3,,5:5,,,Auslösung,,,Good
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,ZOE Gegner: 14,D3,,,5:5,,,Auslösung,,,Bad
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Zone-Exits Against: 1,D1,L3,,5:5,,,Zone-Exits,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Zone-Exits Against: 2,D1,L2,,5:5,,,Auslösung,,Good,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Zone-Exits For: 1,D1,L1,,5:5,,,Zone-Exits,,Bad,
International Men,2025-06-07_Schweden_Tschechien,Schweden,Tschechien,Zone-Exits For: 2,D2,,,5:5,,,Zone-Exits,,Good,
