league,Spiel,team_for,team_against,Action,Drittel,Linien For,Nachsetzen,Nummerische Spielsituation,Schusslabels,Schussmetrik,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 25,OT,L2,,5:5,Gezogen,Geblockt,Konter,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 26,OT,L1,,5:5,Direkt,Neben Tor,Standart,0.30,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,Low Q Chance For: 27,OT,L2,,5:5,Gezogen,Auf Tor,Konter,0.15,,
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 1,D1,L2,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 2,D1,L1,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 3,D1,L2,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 4,D1,L3,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 5,D1,L1,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 6,D1,L3,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 7,D1,L1,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 8,D1,L1,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 9,D1,L3,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 10,D1,L2,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 11,D2,L3,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 12,D2,L3,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 13,D2,L2,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 14,D2,L2,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 15,D2,L3,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 16,D2,L3,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 17,D2,L2,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 18,D2,L1,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 19,D2,L2,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 20,D2,L2,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 21,D2,L3,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 22,D2,L1,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 23,D3,L2,,5:5,,,Auslösung,,,Bad
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 24,D3,L1,,5:5,,,Auslösung,,,Good
International Men,2024-12-15_SWE-FIN_WFCFINAL,Schweden,Finnland,ZOE Gegner: 25,D3,L1,,5:5,,,Auslösung,,,Good
