Spiel,Action,Ballbesitzwechsel,Drittel,Linien For,Nachsetzen_Good_Bad,Nummerische Spielsituation,Schusslabels,Schussmetrik,Spieler Tigers,Spieler Tigers 2,Taktische Spielsituation,XG,ZOE_For,ZOE_Against
MS9 GC H,ZOE For: 3,Ballbesitzwechsel Ja,D1,L3,,5:5,,,Gian Mühlemann,Luca Fankhauser,Auslösung,,Bad,
MS9 GC H,ZOE For: 4,Ballbesitzwechsel Nein,D1,L3,,5:5,,,Maurice Aebersold,Gustav Svensson,Auslösung,,Good,
MS9 GC H,ZOE For: 5,Ballbesitzwechsel Ja,D1,L2,,5:5,,,Lukas Münger,Daniel Hernandez,Auslösung,,Bad,
MS9 GC H,ZOE For: 6,Ballbesitzwechsel Nein,D1,L1,,5:5,,,Kevin Kropf,Schwarz Janis,Auslösung,,Good,
MS9 GC H,ZOE For: 7,Ballbesitzwechsel Ja,D1,L2,,5:5,,,Lukas Münger,,Auslösung,,Bad,
MS9 GC H,ZOE For: 8,Ballbesitzwechsel Nein,D1,L2,,5:5,,,Janis Lauber,Luca Fankhauser,Auslösung,,Good,
MS9 GC H,ZOE For: 9,Ballbesitzwechsel Nein,D1,L1,,5:5,,,Gustav Svensson,Kevin Kropf,Auslösung,,Bad,
MS9 GC H,ZOE For: 10,Ballbesitzwechsel Nein,D1,L1,,5:5,,,Gustav Svensson,Steiner Simon,Auslösung,,Good,
MS9 GC H,ZOE For: 11,Ballbesitzwechsel Nein,D1,L2,,5:5,,,Luca Fankhauser,Steiner Luca,Auslösung,,Bad,
MS9 GC H,ZOE For: 12,Ballbesitzwechsel Nein,D1,L1,,5:5,,,Gustav Svensson,Luca Fankhauser,Auslösung,,Good,
MS9 GC H,ZOE For: 13,Ballbesitzwechsel Ja,D2,L3,,5:5,,,Maurice Aebersold,,Auslösung,,Bad,
MS9 GC H,ZOE For: 14,Ballbesitzwechsel Nein,D2,L2,,5:5,,,Janis Lauber,Lukas Münger,Auslösung,,Good,
MS9 GC H,ZOE For: 15,Ballbesitzwechsel Ja,D2,L2,,5:5,,,Janis Lauber,Luca Fankhauser,Auslösung,,Bad,
MS9 GC H,ZOE For: 16,Ballbesitzwechsel Nein,D2,L1,,5:5,,,Maurice Aebersold,Kevin Kropf,Auslösung,,Good,
MS9 GC H,ZOE For: 17,Ballbesitzwechsel Nein,D2,L1,,5:5,,,Gian Mühlemann,Steiner Simon,Auslösung,,Bad,
MS9 GC H,ZOE For: 18,Ballbesitzwechsel Nein,D2,L1,,5:5,,,Maurice Aebersold,,Auslösung,,Good,
MS9 GC H,ZOE For: 19,Ballbesitzwechsel Nein,D2,L1,,5:5,,,Gustav Svensson,Steiner Simon,Auslösung,,Good,
MS9 GC H,ZOE For: 20,Ballbesitzwechsel Nein,D3,L2,,5:5,,,Luca Fankhauser,,Auslösung,,Good,
MS9 GC H,ZOE For: 21,Ballbesitzwechsel Nein,D3,L1,,5:5,,,Gustav Svensson,Kevin Kropf,Auslösung,,Bad,
MS9 GC H,ZOE For: 22,Ballbesitzwechsel Nein,D3,L1,,5:5,,,Gustav Svensson,Kevin Kropf,Auslösung,,Good,
MS9 GC H,ZOE For: 23,Ballbesitzwechsel Nein,D3,L1,,5:5,,,Maurice Aebersold,Steiner Simon,Auslösung,,Good,
MS9 GC H,ZOE For: 24,Ballbesitzwechsel Nein,D3,L2,,5:5,,,Martin Mosimann,,Auslösung,,Good,
MS9 GC H,ZOE For: 25,Ballbesitzwechsel Ja,D3,L3,,5:5,,,Janis Lauber,Martin Mosimann,Auslösung,,Bad,
MS9 GC H,ZOE For: 26,Ballbesitzwechsel Nein,D3,L1,,5:5,,,Gian Mühlemann,Kevin Kropf,Auslösung,,Good,
MS9 GC H,ZOE Gegner: 1,Ballbesitzwechsel Nein,D1,L3,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 2,Ballbesitzwechsel Ja,D1,L1,,5:5,,,,,Auslösung,,,Bad
MS9 GC H,ZOE Gegner: 3,Ballbesitzwechsel Ja,D1,L2,,5:5,,,,,Auslösung,,,Bad
MS9 GC H,ZOE Gegner: 4,Ballbesitzwechsel Nein,D1,L1,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 5,Ballbesitzwechsel Nein,D1,L3,,5:5,,,,,Auslösung,,,Bad
MS9 GC H,ZOE Gegner: 6,Ballbesitzwechsel Nein,D2,L2,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 7,Ballbesitzwechsel Nein,D2,L1,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 8,Ballbesitzwechsel Nein,D2,L2,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 9,Ballbesitzwechsel Nein,D2,L2,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 10,Ballbesitzwechsel Nein,D2,L1,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 11,"Ballbesitzwechsel Ja, Ballbesitzwechsel Ja",D2,L2,,5:5,,,,,Auslösung,,,Bad
MS9 GC H,ZOE Gegner: 12,Ballbesitzwechsel Nein,D2,L2,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 13,Ballbesitzwechsel Ja,D2,L1,,5:5,,,,,Auslösung,,,Bad
MS9 GC H,ZOE Gegner: 14,Ballbesitzwechsel Nein,D3,L2,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 15,Ballbesitzwechsel Nein,D3,L1,,5:5,,,,,Auslösung,,,Bad
MS9 GC H,ZOE Gegner: 16,Ballbesitzwechsel Nein,D3,L2,,5:5,,,,,Auslösung,,,Bad
MS9 GC H,ZOE Gegner: 17,"Ballbesitzwechsel Ja, Ballbesitzwechsel Ja",D3,L2,,5:5,,,,,Auslösung,,,Bad
MS9 GC H,ZOE Gegner: 18,Ballbesitzwechsel Nein,D3,L2,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 19,Ballbesitzwechsel Nein,OT,L2,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 20,Ballbesitzwechsel Nein,OT,L2,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 21,Ballbesitzwechsel Nein,OT,L2,,5:5,,,,,Auslösung,,,Good
MS9 GC H,ZOE Gegner: 22,Ballbesitzwechsel Ja,OT,L2,,5:5,,,,,Auslösung,,,Bad
